56643    4   11    4    5   93   43    9    1    1   11   16    6    3    1    0    1   19    0   56    1    3    2   84    7    5    1    2    3   15   33   23   10    0    8    0    0   20    0   25    0    0   10   29    0   15    3    2    5    2
56645    0    0    3    4   49   21    0    0    0    7    2    0    4    0    0    0   27    0   46    0    5    6   66    9   14    4    2    3   11   15   25    9    0    1    0    0   12    1   24    0    0    5   21    0    3    2    1    0    3
56646    0    0    2   13   29    7    0    0    0   10    1    1    1    0    0    0    8    0   26    0    1    5   47    3    8    0    1    3    4    8    9    4    0    0    0    0    4    3   21    0    0    1    8    0    1    8    0    0    0
56654    0    0    2    9   20    2    0    0    0    9    0    0    0    0    0    0    6    0   24    0    0    7   40    0    3    0    1    0    2   10    2    2    0    0    0    0    4    3   10    0    0    0    3    0    0   11    0    1    0
56649    1    0    4    4   43   10    0    0    0   21    1    1    2    5    0    0   11    0   19    0    1    3   54    1    3    0    1    5   10   13   10    1    0    0    0    0    6    0   14    0    0    3   11    0    4    2    0    1    1
56742    3    4    3    3   63   22    2    0    0   15    3    1    3    1    0    0   13    0   37    1    3    1   59    5    2    1    1    3   18   31   19    7    0    1    0    0   12    1    9    0    0    3   19    0    5    3    0    2    0
56746   16    1    8    4   93   32   12    0    0   36    1    2    2    1    0    1   11    0   69    0    6    7   56    5    2    2    2    4   21   45    9   12    0    2    1    9   18    0    9    0    0    2   12    0   15   16    0    4    0
56745   16    7    6    3   69   26    7    0    0   31    1    3    2    0    0    0    9    0   47    2    5    9   54    4    2    2    3    2   20   11    6   16    0    3    0    3   16    0    7    0    0    1   16    0   17   16    5    3    0
56751   17    5    5   18  116   38    7    0    0   40    1    3    1    3    0    0   19    0   30    0    6   10   69    8   10    4    3    1   29   37   21   12    0    3    0    3   46    0    9    0    1    1   41    2   15    8    2    1    4
56752    4    1    2    8   37    1    1    0    0   27    0    2    0    0    1    0    1    0   11    0    0    2   40    0    1    0    0    3    6    5    0    6    0    1    0    1    3    0    1    0    0    0    0    0    8    1    0    0    0
56756   13    8    6    9   42   10   15    0    6   55    3    3    5    2    3    0   17    0   19    6   20   16   50    3    1    5    7    2   22   17    4    5    0    2    0    9   17    0    6    0    0    2   22    1   16    7    3    3    0
56755   16    4    7    4   49    8    3    0    3   62    2    8    2    3    7    0   26    0   25    8   11    3   59    1    0    5    8    0   24   22    2    4    2    4    0   12   11    0   10    0    2    5   19    2   15    6    3    2    0
56757   19    9    5    7   68   14    3    0    2   59    8    4    5    4    3    0   25    0   43    6   11    4   53    1    0   10    7    3   33   22    4    6    2    4    0   15   24    0    4    0    0    5   27    2   22    6    3    5    0
56851   33   10    9    4   51   17    2    0    5   50    6   14    2    2    3    0   29    0   34   10   11   11   69    3    4    5   19    1   35   13    1    0    1    3    0   11   27    2    3    0    0   17   37    4   22   13    0    9    0
56669    5    2    2   14   20    6   13    0    8   36    0    2    1    0    2    0    9    0   22   10   10   10   57    0    1    1   12    1    5    5    0    6    2   10    0    4    2   13   14    0    0    1    1    1   17    3    0    0    0
56761   15    5    2   15   28    2   10    0    4   40    2    3    1    0    5    0    5    0   18   18    7   16   37    1    0    2    8    3   10   10    6    2    0    4    0    8   24    0   10    0    0    0    9    1   15   10    2    2    0
56763    5    0    0   18   13    0   11    0    1   42    0    2    0    0    9    0    4    0    8    6    3   17   38    0    0    1    6    0   14    3    0    0    6    7    0   10    2    1    6    0    0    1   12    2   14    7    0    5    0
