56483    9    8    6   11   16   13    7   13    5    6   18    5    9    8   10    6   12   16    9   11    8    9   11   12   14   12    7    5   12    5   14    7    5    3    9    8    6   14    5   16    9   10    7   11   11    9   11   10   13    2
56489    0    9    7    1    5    0    4    1    2    0    6    0    1    0    3    3    7   10    3    0   15    1    9    5    7    0    7    0    3    4    5    5    7    0    5    6    4    6    6    7    8    4    2    3    7    1    4    5   13    0
56497   13   30   12   30   27   20   16   14   12   19   40   21   22   26   17   21   31   25   17   19   18   14   23   25   19   13   11   14   28   22   30   13   13    4   17   18   15   25   11   28   14   17   17   25   18   22   28   27   23    7
56596   31   40   11   27   31   21   23   13   14   29   39   17   33   19   24   27   41   20   31   20   33   27   36   24   24   21   20   28   17   31   44   22   30   15   23   19   18   33   32   27   20   24   30   19   19   22   36   20   32   14
56595    9   24    9   14   13    7    9    7   11   14   22   12   23   11   19   27   19   15   15   10   21   15   23   16   15   12   12   12   11   14   28   19   18    9   26   16   12   25   24   27   10   26   19   17   24   17   25   12   14    5
56582    4   14   12    7   12    2    7    2   13    4   24    6    8    4    6   11   15   12    5    6   15    9   22   14   12    4   15    3    8    8   20   19   24    1    8   10   12   17   12   17    3    9    7    7   13    5   11   17   13    4
56594    0    9    6    1    6    0    2    1    3    0    8    0    5    0    6    4    5    6    3    0   15    6   10    3    7    0    4    0    1    1   10   12   13    0    1    0    0    5    8    9    0    5    5    0    2    0    5    4    2    0
56586    0   16    8    4    6    1    4    5   10    1   10    3    6    0   12   10    5   12    3    3   20    6   19    3    5    0    5    1    1    6   18   18   16    0   11    1    7    9   19   27    1   14    6    4    9    0    6   17    4    1
56585    2   27   13    9   12    3    9   11   15    4   30    4   13    1   13   14   24   39    7   10   35   13   31    4   10    0    8    1    1    7   26   32   20    1   20    2   21   19   38   38    2   37   11    7   23    2    7   22    8    2
56673    0   27    6    0   31    0    2   29   11    0   16    0    4    0    7   13   21   27    6    4   16   31   27    1    0    0   13    0    0    8   15   50   11    0    6    0   22   13   38   31    0   39   18    2   19    0   11   17    3    0
56688    0   15    6    0   12    0    1   20    2    4   14    1    2    1   13   27    4   31    2   14    9   16   32    1    0    0   19    3    1    9   21   22   24    0   24    0   19   10   57   28    0   19   33    6   40    0    7   10    6    0
56684    0    9    7    0    4    1    5   15    4    8    9    1    2    2   12   20    9   17    1   10    9   14   34    4    1    0   19    5    1    5   42   22   18    0   24    1   13   19   29   13    0   15   11   10   23    0    9   32    8    5
56697    1   31   11    8   19    1    3   10    7   11   20   10    6    3   16   41    8   19    1    5    4   11   50    1    7    2   19    6   11   11   21   22   18    1   42   11   24   14   30   15    5   21   12   16   39    5   15   15    7    5
56786    3   23   15    8   23    4    9   18   24    7   25   17   13    1   24   31   10   30    1   11    9   14   44    5    4    3   27   16   11   15   37   54   27    3   39    7   14   14   45   29    2   30   23   29   51    1   23    8    6    1
56781    1   14    7    2   15    1    6   26   12    6   23   11    4    0   29   26    6   28    1    9    6    5   27    3    1    2   34    8    3    5   33   45   13    1   27    3   18   10   71   25    0   20   25   40   46    1   13   17    5    1
56782    2   20   17    4   17    7   10   25   16   11   27   17    8    2   33   31   12   33    1   14    9    9   40    8    8    2   29   17   10   16   49   61   35    2   40    5   19    9   50   36    1   22   30   32   48    2   38   23   12    2
56790    5   35   10   11   24    2    6   13   13   11   14   18   18    5   27   34   11   30    1    8    5   10   62    4    6    1   34   15   14   12   53   34   34    1   33    6   17   41   40   29    2   25   21   43   47    1   34   17   15    1
56891   12   51   22   28   30   31   14   29   25   32   34   23   29   24   31   30   37   38    7   13   22    6   47   22   24    5   31   14   21   27   39   80   39   15   41   18   47   21   23   27   10   33   49   27   34   13   35   27   18   14
56883    5   27   13   15   20   22    5   29   19   15   20   21   19   12   30   32   22   30    2   11   14    5   31   11   16    1   33    5   10   21   30   79   30    4   25    7   14   10   23   18    4   31   45   26   34    7   28   20   12   11
56788    2   21   10    1   16   28    4   22   19   13   20   10   13    2   33   46   10   31    1   15   21    4   32    8    4    1   39    4    9   18   36   80   26    1   28    1   15   16   42   29    0   24   35   35   33    3   34    9    6    6
56889    6   33    9   16   27   10   11   21   11   10   23   20    9    2   32   23    9   20    7    7   13   12   21    8   23    1   29   14   11   21   17   67   44    4   40    5   17   15   19   20    7   27   55   22   40    5   42   26   11    5
59007    4   19    5   11   18   16    6   20   10   16   14   10   16    3   33   10   16   12    7    2   11   19   41    6   16    1   34   15   10   13   13   48   35    6   29    3   25   11   11   22    2   19   60   10   20    2   21   12   12    8
59205    4   16    1   12   13   20    9   18    9   22   15   11   40    9   32   18   27    8   15    6    6    9   29   11   11    5   27   19   32   11   19   30   40    3   27    2   28    5   18   19    6   29   55    8   20    5   17    8    8   34
56991    2   29    4   21   11    7    5   23   12    9   10   13   13    4   29   17   16   16    6    3   17   12   40    4    8    2   26   13   17    2   18   39   41    2   29    1   17    6   14   24    3   36   57   10   24    2   15   14    5    3
56992    7   21    5   13   13   19    9   32   15   10   14   19   30    6   31   22   18   17   15    6   16   18   43    8    9    5   26   20   26    6   26   43   38    8   23    2   33    7   20   27    8   30   55   21   26    5    8   12    8    6
56994    1   12    3    8   12   11    9   20   14    5    8    8    8    1   33   13   10   13    6    8    8   16   41    7    6    0    8   24   16    4    9   36   39    4   15    0   34    5   12   24    4   20   53   18   17    1   19   13    4    1
56995    8   14    4   11   11   26   20   41   14   17   14   29   14    9   44   25   23   24   19   11   20   14   60    7   17    7   30   14   38   14   23   37   61   11   22    3   31    5   15   25   14   33   41   32   32    3   20   16    9   13
56996    4   16    4   11   13   17   16   32    8    9   15   15   13    3   38   15   25   20   18    6   10   14   42    8    6    2   27    8   27   11   13   35   53    1   21    3   21    2   10   15    9   26   41   14   14    2   10   14    4   10
56885    1   22    1   10   18    9    6   33   11    7   13    7    9   18   38   33    7   31    1   10   14    6   30    6   14    0   22   10    8    6   17   55   32    2   10    0    3   11   33   20    0   28   56   17   25    1   19   13    5   12
56886    3   21    4   15   13   19    7   27   15   15   17   12   17   27   31   30    6   34    1    9   13    4   24    6   15    1   18   10    6   13   22   53   40    6   14    4    8   15   32   16    1   33   50   23   24    2   21   20    7    5
56970    4   27    1    4   23    5   13   61    4    4    8    7    3    0   44   34    6   57    4    2   26    3   23    5    7    0   32   11    6    1   22   44   17    1   12    0    4   13   39   41    0   37   78   14   26    0   14   18    2   18
56973    3   13    0    3   23    4   11   50   10    6    6   14    1    1   39   28    7   27    3    0   15    1   21    1    5    0   17    9    6    1   12   54   28    0   22    0    3   10   31   32    1   27   93    9   27    0   26   21    1   18
56982    1   15    0    5   18   17    8   35    7    3    5    8    3    0   27   21    8   30    6    4    8    2   24    1    8    0   18    9    6    0    8   52   25    1   26    0    4    6   24   26    1   25   77   10   25    0   32   16    1   14
56984    4   20    1    9    9   11   18   71   13   10   12   11   10    1   43   25   26   51   14    8   11    7   49    1   10    3   37   10   45    2   19   73   51   11   70    2   19   15   36   43   10   41   90   35   41    0   24   35   10   10
56985    2   16    2    7   10    6   12   54    2    2    6    5    3    0   39   17   11   27    8    6    3   11   34    0   22    0   16    7   20    3   12   48   28    7   27    0   10   12   25   37    2   21   65   26   27    0   30   18    3    4
56975    4   16    0    4   12    7   16   87    2    9    4    6    1    0   47   31   13   34    5    0    9    5   27    0    7    1   16    9    4    0    7   50   18    1   23    0    3    4   37   51    1   26   82   13   37    0   14   22    2   13
56976   10   46    4   24   16   40   52  113   25   20   24   30   13    4   99   50   40   83   27   17   21   16   66   10   11    8   31   24   55    5   40   92   37   15   91    8   20   13   23   45    2   44   79   19   30    0   20   35    7   12
56978   11   27    1    5    7   13   37  116   24   19    7   16    6    0   48   85   32   82   33    6   26   16   55    3    3    1   34   16   35    1   51   68   11   25   67    5   17    6   22   81   10   52  129   20   21    0   10   56   15   28
56987   10   61    4   15   15   65   53   68   21   30   26   31    9    5   49   58   57   76   11    9   63   28   77    3   25    4   77   13   40   12   41   77   32   47   42    2   18   20   51   50   48   70  129   48   45    1   16   44   12   15
56986   13   34    4   12   11   19   32   40   17   22   17   19   18    7   21   21   31   37   30   12   32   13   63    8   19    6   38   31   34   23   35   58   63   26   29    4   34    6   24   48   25   40   72   35   35    7   21   29   21   11
56989    6   36    2    4    9   42   13   16   10   30   38   16   13   10   95   30   26   27   24    2   44   29   74    6   18   11   23   32   38   33   38   54   32   15   48    1   23    3   31   22   32   54   73   23   36    0   29   15   10   12
56870    4   15    4    0   12   23    3   16    8    5    8    1    5    0   32   36    1   26    2   10   11   11   45    4    0    0   13    1    6    1   30   31   21    0   15    0   12    4   74   38    0   16   27   34    8    0    7   15    6    3
56875    8   24    2    2   23   11    5   50   11    8   13    8    8    2   48   32    4   24    4    4   13    4   27    2    0    0   30    0   11    1   24   54   16    1    7    0    5   14   74   54    1   13   58   17   31    0   14   17   15    2
56873    4   13    2    0   10   11    5   32   13    9   11    6    3    1   38   35    7   15    0    9   20    1   33    1    0    0   19    7    4    4   23   57   21    0   16    1    4    3   45   32    1    6   45   24   27    0   13    8   10    2
56876    4   13    1    1   18    6    4   47    7   11   12    6    6    2   48   36    3   25    3   14    9    1   26    1    0    0   18    1   10    4   16   59   18    0    9    1    6    2   60   26    1   18   46   18   22    0   12   11   13   10
